"s10"	"s11"	"s1"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s2"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s3"	"s32"	"s34"	"s35"	"s36"	"s37"	"s38"	"s39"	"s40"	"s41"	"s4"	"s5"	"s6"	"s7"	"s9"	"ss11"	"ss1"	"ss12"	"ss13"	"ss14"	"ss15"	"ss16"	"ss18"	"ss19"	"ss21"	"ss2"	"ss23"	"ss24"	"ss25"	"ss26"	"ss27"	"ss28"	"ss29"	"ss30"	"ss3"	"ss4"	"ss5"	"ss7"	"ss8"	"ss9"
"AversicolorCBS583.65"	0	0.0182781941144215	0	0	0	0	0	0	0.00830185546469636	0	0	0	0.00367424172836331	0	0	0	0	0	0.00119420096013757	0	0	0	5.19921358774957e-05	0	0	0	0	0.0344629523262493	0.0375216157134001	0	0	0	0	0	0	0.0034979711767175	0	0.141043723554302	0	0	0	0	0	0	0	0	0.0121036068748487	0	0	0	0	0	0	0.179248714085312	0.0238939110350046	0	0	0	0.108695652173913	0	0.392772977219167	0	0
"BceratinophilaUAMH5669"	0	0	0	0	0	0	0	0	0	8.24947739560699e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.03984271754991e-05	0	0	0	0	0	0.00652549838493915	0	0	0	0	0.00250174340243357	0	0	0	0	0	0	0	0	0	0	0.0330196466897804	0	0	0	0	0	0	0.0505305709954523	0	0	0	0.0143287003868749	0	0	0	0	0.392772977219167	0	0
"BcinereaB05-10"	0	0	0	0	0	0	0	0	0.568677099331701	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07968543509983e-05	0	0	0	0	0.0114876507754164	0	0	0	0	0	0	0.085190642843986	0	0	1.97461212976023	0.0607625702567219	0.68936991589687	0	0.00987934845696926	0	0	0.833746078916956	5.49000489708437e-05	0	0.322345845897889	0	0.588174594985038	1.37174211248285	1.21273370389085	0	0.142879409778147	0.0119469555175023	0.0573148015474996	0	0	0	0	2.47446975648075	0.594916170903191	0
"CalbicansSC5314"	77.8718089468386	0	0.00137233660342848	0.158982511923688	63.5039241254353	3.11685738346461	0.0104524153789872	66.5573650313167	0.00415092773234818	69.8643565930098	64.8187597494048	69.1634227146292	0	65.8131578760585	0.494446609508963	0.00144475787663935	69.1395252306402	0.16518949140697	8.81081468389501	65.9084916744409	54.6850412591706	0	60.6853665741935	0.000813643168651956	0	0.00298569850416505	66.9604984243258	0.0114876507754164	0.00815687298117394	0	1.87259041674316	0.241413365521782	5.10475210912341	66.510881020211	0.0736783938110149	0	64.2487424363928	3.38504936530324	0.0607625702567219	0.248173169722873	64.8726253729321	65.905133556442	64.4159597081697	0.0362154821186057	0.0247647350173353	0.000933300832504343	0.0121036068748487	0.0727877716543621	0.0167728950016773	0.113507377979569	0.0257201646090535	0.0505305709954523	3.66666666666667	0.0077934223515353	55.832105451794	0.0143287003868749	0.0230308613542146	69.8620939001085	28.695652173913	64.998038375955	0.314218381775334	0.108166576527853	0.150262960180316
"CalbicansWO1"	21.8932859819232	0	0.000644998203611386	0.0794912559618442	33.5780112229499	1.62197736874509	0.000871034614915597	32.2774805540325	0.00830185546469636	30.1239841456044	35.1532945883304	30.799195846131	0	34.1839320315993	0.233826968043648	0.000361189469159837	30.7929526147864	0	3.33540328166424	34.0062099043268	27.8667649291514	0	34.4535350960955	0.00122046475297793	0	0.000995232834721683	33.0244574500094	0	0.00163137459623479	0	0.00917936478795667	0.241413365521782	4.48762688412984	32.7088877561551	0.00230244980659422	0.00699594235343501	33.0830356491944	0.846262341325811	0.0303812851283609	0.0413621949538122	35.1230306599257	33.1353347246749	35.5483530330052	0.0362154821186057	0.0247647350173353	0.000109800097941687	0.0121036068748487	0.0207965061869606	0.0670915800067092	0.0515942627179858	0	0.101061141990905	1	0.00259780745051177	31.3846521444785	0.0286574007737498	0	28.5832343370694	12.7173913043478	32.7633143360277	0.11783189316575	0	0.150262960180316
"Ccinereaokay7-130"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.596658711217184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CeuropaeaCBS101466"	0	0	0	0	0.000732568531786149	0	0	0	0.00415092773234818	0	0	0	0	0	0.00487139516757599	0	0.000414564264456763	0	0	0	0	0	0.00180932632853685	0	0	0	0	0	0	0	0	0	0	0	0	0.0314817405904575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00857338820301783	0	0	0	0	0	0	0.0206600898713909	0	0	0	0	0
"CglabrataCBS138"	0	0	0	1.11287758346582	0.0285701727396598	0.00113227041448174	5.2889221817675	0	25.7399028682911	0.000109993031941427	9.86781859633833e-05	0	0.18922344901071	0	1.61973889321902	0	0.00342015518176829	0.384383239620064	0.00119420096013757	0.0213619513769122	0	52.5022341376229	0.0084851165752073	0	0	0.0607092029180227	0.000395898043811209	0	0.133772716891253	0.027811769941039	31.990086286029	0.362120048282673	1.66158517919896	0	0.032234297292319	0	0	0	86.951238037369	0	0	0	0.0202227800008602	0.0181077410593029	0	0	0	0	0	0	1.0116598079561	0	0	84.6469579674755	0	0	0	0	0	0	0	0	0.826446280991736
"ChaemulonisB11899"	0	0	0.000178403758445703	0.0794912559618442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57039475865664e-05	0	0	0	0	0	0	0	0	0	0	0.909550277918141	0	0	0	0	0	0	0	0	0	0	0
"ClusitaniaeATCC42720"	0.000222237531918866	0	4.11700981028544e-05	0	0	0	0	0	0	0.000219986063882853	0.000197356371926767	0.00012078009447419	0	0	0.002435697583788	0	0	0	0.00477680384055029	0	0.000123033161127919	0	0.00012478112610599	0	0	0	8.48352951024019e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000257039475865664	0	0.000183011583718191	0	0	0.000329400293825062	0	0	0	0	0	0	0	0	0	0	0.0230308613542146	0	0	0.000374355733782161	0	0	0
"CneoformansH99"	0	0	0	0	0	0	0	0	0.36528164044664	0	0	0	0	0	0.002435697583788	0	0	0	0	0.000373460688407556	0	0	0.000561515067476954	0	0	0.00796186267777346	0	0	0	0	0	0	0.00122445481149518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CneoformansKN99"	0	0	0	0	0	0	0	0	0.406790917770122	0	0	0	0	0	0.00487139516757599	0	0	0	0	0.000149384275363022	0	0	0.000561515067476954	0	0	0.00398093133888673	0	0	0	0	0	0	0.00122445481149518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
